route_id,fare_id,route_id_base
2-13188,1,2
2-13188,2,2
4-13188,1,4
4-13188,2,4
10-13188,1,10
10-13188,2,10
14-13188,1,14
14-13188,2,14
16-13188,1,16
16-13188,2,16
18-13188,1,18
18-13188,2,18
20-13188,1,20
20-13188,2,20
28-13188,1,28
28-13188,2,28
30-13188,1,30
30-13188,2,30
33-13188,1,33
33-13188,2,33
35-13188,1,35
35-13188,2,35
40-13188,1,40
40-13188,2,40
45-13188,1,45
45-13188,2,45
51-13188,1,51
51-13188,2,51
53-13188,1,53
53-13188,2,53
55-13188,1,55
55-13188,2,55
60-13188,1,60
60-13188,2,60
62-13188,1,62
62-13188,2,62
66-13188,1,66
66-13188,2,66
70-13188,1,70
70-13188,2,70
76-13188,1,76
76-13188,2,76
78-13188,1,78
78-13188,2,78
81-13188,1,81
81-13188,2,81
90-13188,1,90
90-13188,2,90
92-13188,1,92
92-13188,2,92
94-13188,1,94
94-13188,2,94
102-13188,1,102
102-13188,2,102
105-13188,1,105
105-13188,2,105
106-13188,1,106
106-13188,2,106
108-13188,1,108
108-13188,2,108
110-13188,1,110
110-13188,2,110
111-13188,1,111
111-13188,2,111
115-13188,1,115
115-13188,2,115
117-13188,1,117
117-13188,2,117
120-13188,1,120
120-13188,2,120
125-13188,1,125
125-13188,2,125
127-13188,1,127
127-13188,2,127
128-13188,1,128
128-13188,2,128
134-13188,1,134
134-13188,2,134
150-13188,1,150
150-13188,2,150
152-13188,1,152
152-13188,2,152
154-13188,1,154
154-13188,2,154
155-13188,1,155
155-13188,2,155
158-13188,1,158
158-13188,2,158
161-13188,1,161
161-13188,2,161
162-13188,1,162
162-13188,2,162
164-13188,1,164
164-13188,2,164
165-13188,1,165
165-13188,2,165
166-13188,1,166
166-13188,2,166
167-13188,1,167
167-13188,2,167
169-13188,1,169
169-13188,2,169
179-13188,1,179
179-13188,2,179
180-13188,1,180
180-13188,2,180
182-13188,1,182
182-13188,2,182
202-13188,1,202
202-13188,2,202
204-13188,1,204
204-13188,2,204
205-13188,1,205
205-13188,2,205
206-13188,1,206
206-13188,2,206
207-13188,1,207
207-13188,2,207
209-13188,1,209
209-13188,2,209
210-13188,1,210
210-13188,2,210
211-13188,1,211
211-13188,2,211
212-13188,1,212
212-13188,2,212
217-13188,1,217
217-13188,2,217
218-13188,1,218
218-13188,2,218
222-13188,1,222
222-13188,2,222
224-13188,1,224
224-13188,2,224
230-13188,1,230
230-13188,2,230
232-13188,1,232
232-13188,2,232
233-13188,1,233
233-13188,2,233
234-13188,1,234
234-13188,2,234
236-13188,1,236
236-13188,2,236
237-13188,1,237
237-13188,2,237
240-13188,1,240
240-13188,2,240
242-13188,1,242
242-13188,2,242
244-13188,1,244
244-13188,2,244
246-13188,1,246
246-13188,2,246
251-13188,1,251
251-13188,2,251
258-13188,1,258
258-13188,2,258
260-13188,1,260
260-13188,2,260
265-13188,1,265
265-13188,2,265
266-13188,1,266
266-13188,2,266
267-13188,1,267
267-13188,2,267
268-13188,1,268
268-13188,2,268
287-13188,1,287
287-13188,2,287
294-13188,1,294
294-13188,2,294
296-13188,1,296
296-13188,2,296
344-13188,1,344
344-13188,2,344
460-13188,1,460
460-13188,2,460
487-13188,1,487
487-13188,2,487
501-13188,1,501
501-13188,2,501
550-13188,1,550
550-13188,2,550
577-13188,1,577
577-13188,2,577
601-13188,1,601
601-13188,2,601
602-13188,1,602
602-13188,2,602
605-13188,1,605
605-13188,2,605
611-13188,1,611
611-13188,2,611
617-13188,1,617
617-13188,2,617
660-13188,1,660
660-13188,2,660
662-13188,1,662
662-13188,2,662
665-13188,1,665
665-13188,2,665
690-13188,1,690
690-13188,2,690
697-13196,4,697
720-13188,1,720
720-13188,2,720
754-13188,1,754
754-13188,2,754
761-13188,1,761
761-13188,2,761
901-13188,3,901
910-13188,1,910
910-13188,2,910
DSE-HG,4,DSE-HG
DSE-US,4,DSE-US
